latent_dim,mse_overall_mean,mse_overall_std,mse_F1_dominant_mean,mse_F1_dominant_std,mse_F2_secondary_mean,mse_F2_secondary_std,mse_F3_minority_signal_mean,mse_F3_minority_signal_std,mse_F4_rare_subtype_mean,mse_F4_rare_subtype_std,mse_F5_correlated_pair_mean,mse_F5_correlated_pair_std,frobenius_distance_mean,frobenius_distance_std,normalized_frobenius_mean,normalized_frobenius_std,r2_F1_dominant_mean,r2_F1_dominant_std,r2_F2_secondary_mean,r2_F2_secondary_std,r2_F3_minority_signal_mean,r2_F3_minority_signal_std,r2_F4_rare_subtype_mean,r2_F4_rare_subtype_std,r2_F5_correlated_pair_mean,r2_F5_correlated_pair_std,silhouette_rare_mean,silhouette_rare_std,n_active_dims_mean,n_active_dims_std,n_collapsed_dims_mean,n_collapsed_dims_std,active_fraction_mean,active_fraction_std,mean_kl_mean,mean_kl_std,max_kl_mean,max_kl_std,val_loss_mean,val_loss_std,val_recon_mean,val_recon_std,val_kl_mean,val_kl_std,n_epochs_mean,n_epochs_std
1,0.45506061911582946,0.045574690520708,0.16602717638015746,0.02806607641516894,0.3048817217350006,0.040199455505906694,0.8282711505889893,0.17892854141744072,0.861513203382492,0.4068075380865783,0.99466472864151,0.044976065400067884,12.71257852116502,4.532397581853479,0.25425157042330043,0.09064795163706957,0.5536459803581237,0.2341121161800999,-0.024319958686828614,0.020128512178739812,0.0010801076889038086,0.003995033371591145,0.07089669704437256,0.11336069898838773,-0.0015812397003173828,0.006982358701553136,0.1748962767422199,0.320148750169009,1.0,0.0,0.0,0.0,1.0,0.0,2.8928319931030275,0.1911865203922589,2.8928319931030275,0.1911865203922589,26.145745468139648,2.1842646553040552,23.204063415527344,2.242801452928094,2.9416818141937258,0.06577988476414699,93.2,15.205262246998569
2,0.2497628152370453,0.042139258134057674,0.0339006919413805,0.012482252679917483,0.22452642917633056,0.018115424535735097,0.34175174236297606,0.04790621789421378,0.4006075978279114,0.44420646842206035,0.9945375084877014,0.04842443485529359,5.243957084742534,1.794150943395232,0.10487914169485069,0.03588301886790465,0.9388070583343506,0.057149392915031516,0.3875663161277771,0.2115595189404011,0.004248559474945068,0.00921883838034029,0.25580856800079343,0.19873182483403873,-0.010610854625701905,0.022231436812276784,0.3280015591531992,0.20382389649476207,2.0,0.0,0.0,0.0,1.0,0.0,2.1028501987457275,0.0304395669036006,2.288598346710205,0.09596780741880188,16.99454402923584,2.324048303246491,12.687476921081544,2.4145678635706145,4.307067203521728,0.12056053733830589,96.2,8.497058314499203
3,0.1603578209877014,0.056016615153429976,0.021783041954040527,0.001644578015792447,0.04110930971801281,0.013791080262321467,0.1058571070432663,0.034372814628561364,0.38690181374549865,0.5046527036823211,0.9801626205444336,0.05161478132723797,4.132508945488507,1.2517149041010702,0.08265017890977014,0.025034298082021404,0.9942781090736389,0.004550411894281697,0.9389612317085266,0.10241582226325993,0.7477354884147644,0.1679200791699564,0.27268645763397215,0.17524748280141514,0.007108879089355469,0.027655587745879347,0.2505758792161942,0.1923909864262795,3.0,0.0,0.0,0.0,1.0,0.0,1.6518439531326294,0.04459688987218966,1.8199866771698,0.015790790760253037,13.164726638793946,2.622737733332489,8.093402671813966,2.7477478020391897,5.071324157714844,0.1388966075521765,58.0,20.868636754709208
5,0.048466555774211884,0.002220683430837823,0.02242116741836071,0.001450543820298809,0.036862463504076,0.004030244160483378,0.04951869025826454,0.00994091574310623,0.15242308676242827,0.01801519708478247,0.055466698855161665,0.0040784828809451255,1.4947573773098868,0.17682348701584802,0.02989514754619773,0.0035364697403169605,0.9973155379295349,0.0004997122807157471,0.9947039008140564,0.0007537705637793052,0.9889840364456177,0.0028576948363264075,0.8812492966651917,0.037675478006169896,0.9736630082130432,0.013108756731778597,0.3425812482833862,0.04930633027232902,5.0,0.0,0.0,0.0,1.0,0.0,1.2187391757965087,0.011779786539481106,1.7541897535324096,0.0810883685258656,8.598551368713379,0.1662367467942326,2.340109348297119,0.10834299650291408,6.258442020416259,0.07090203349599132,56.0,20.988091861815356
8,0.0464635044336319,0.0019007031774088174,0.02158954069018364,0.0018145020120405892,0.03247275985777378,0.00307823870485589,0.04860737100243569,0.006981821238885689,0.14757385551929475,0.015610956702896537,0.0568523183465004,0.005177040356011438,1.5271431827018813,0.1389994284735792,0.030542863654037626,0.002779988569471585,0.9975215196609497,0.00045883174519522203,0.9945374369621277,0.0009363858645492114,0.9892558217048645,0.0020216055607769515,0.9247126698493957,0.02082997721458143,0.9762528896331787,0.010209981976412845,0.35493101477622985,0.05546816600392111,5.0,0.0,3.0,0.0,0.625,0.0,0.7708003878593445,0.007574485713701895,1.7873098134994507,0.019320374437520084,8.602784347534179,0.17974251627332102,2.378274154663086,0.1531917100764967,6.224510192871094,0.08253821648086342,56.8,10.848963084092414
10,0.04698549434542656,0.0021811359752268882,0.022207852080464364,0.002631186472857595,0.03445005118846893,0.002246809520429398,0.0462989866733551,0.004049558602628823,0.14709897637367247,0.01580692731394497,0.05968283861875534,0.004459071128289462,1.5640867567250394,0.24510183876071803,0.03128173513450079,0.004902036775214365,0.9974836587905884,0.0006091449319048176,0.9949566721916199,0.0013580690832840513,0.9895695805549621,0.003992571006953963,0.9172393798828125,0.022013490314603503,0.9822041630744934,0.005831679238311781,0.34689180850982665,0.052710625560641274,5.0,0.0,5.0,0.0,0.5,0.0,0.6125635266304016,0.006851813653908887,1.7614954948425292,0.051937968247986493,8.65342311859131,0.16387581129753023,2.379637575149536,0.11063523320709087,6.2737853050231935,0.061157604842438595,54.0,10.27131929208707
15,0.04647788032889366,0.0015047864546585668,0.02184947207570076,0.0010753324192721474,0.034849390387535095,0.0026920876125669613,0.04746047928929329,0.0068913717957196806,0.14639724493026735,0.015575141553572196,0.05266116037964821,0.002867954541766238,1.4663235632541927,0.21130060186688293,0.029326471265083854,0.004226012037337659,0.9975131750106812,0.00048284247677158227,0.9952221989631653,0.0013352113089742496,0.992506742477417,0.0012577964197506028,0.927547836303711,0.02702866869307531,0.9812227725982666,0.003339495040963389,0.35957260727882384,0.03531460919383699,5.2,0.44721359549995804,9.8,0.44721359549995776,0.3466666666666667,0.029814239699997205,0.4105068862438202,0.00583446663281951,1.7872895002365112,0.03256790622940928,8.657029342651366,0.09898488771550307,2.377417278289795,0.08062152740193956,6.279611873626709,0.06943481200839771,64.4,11.282730166054668
20,0.04669924005866051,0.002368299074120183,0.02125627137720585,0.0010176321412677964,0.0356171578168869,0.004322814675959731,0.04547835886478424,0.006442097423054246,0.14957829117774962,0.018345045064402977,0.05528353303670883,0.0034715500747778275,1.3588968996272794,0.1322320536497897,0.027177937992545587,0.0026446410729957935,0.9977072834968567,0.00032130318068301217,0.9950300335884095,0.0011484602100792598,0.9916283488273621,0.0010383358229114235,0.9384691953659058,0.040192072918159336,0.982942521572113,0.00264816554175895,0.35923307538032534,0.05254134431219216,5.2,0.4472135954999579,14.8,0.44721359549995787,0.26,0.02236067977499789,0.3059281826019287,0.0037942054114322335,1.7270191192626954,0.050098230638832834,8.689757156372071,0.15722267927277958,2.3477175712585447,0.08670369974193089,6.342039585113525,0.08440134934712977,69.6,20.03247363657319
30,0.04622507467865944,0.0015625117248097191,0.020639275014400483,0.0011155890581638068,0.032764218375086786,0.003155657860293505,0.04615725427865982,0.006072123127599087,0.14999181032180786,0.015204290005261991,0.05902219340205193,0.00779370224344263,1.403366077877765,0.2357147445278085,0.028067321557555303,0.0047142948905561696,0.9980623245239257,0.00014698524375501992,0.9954652070999146,0.0013591570328158888,0.9925473928451538,0.0011882288266557707,0.932777714729309,0.032515535472905414,0.9806991457939148,0.003501906913769159,0.34530783295631406,0.051233705511776646,5.0,0.0,25.0,0.0,0.16666666666666666,0.0,0.204582279920578,0.0026984762422191983,1.787427830696106,0.044299821379152726,8.650925254821777,0.17115947376179558,2.4008419036865236,0.09762293517794192,6.2500834465026855,0.0936098490884709,87.0,6.324555320336759
40,0.04691376984119415,0.0017788778357596383,0.021633461117744446,0.0017479754049616293,0.035374397039413454,0.0026127652132978407,0.049161266535520554,0.006506606731096639,0.1475551277399063,0.016843385692195043,0.052476397901773456,0.004888814580982762,1.3036434207771603,0.0614790734913824,0.026072868415543203,0.0012295814698276483,0.9980519413948059,0.00036848136872131605,0.9953407168388366,0.0009028391809576422,0.9918172717094421,0.0012690699028665784,0.9473713755607605,0.01600131914290233,0.9837854504585266,0.0017923075270874515,0.3571657419204712,0.030132245723729665,5.2,0.44721359549995804,34.8,0.44721359549995765,0.13,0.011180339887498947,0.1538355439901352,0.0019437564755113174,1.7743907213211059,0.046869411508395804,8.604459762573242,0.15472306720039183,2.360107421875,0.13768390520035548,6.2443524360656735,0.10065442228024704,83.8,16.873055443517043
50,0.04716091826558113,0.0033461450833015974,0.021878163143992425,0.003439540277573347,0.03416120857000351,0.0037522959871663054,0.0485100656747818,0.004910723885234032,0.14994168281555176,0.01737490813956452,0.055704372376203536,0.003562544098254778,1.3316495848419028,0.10335192938299562,0.026632991696838054,0.002067038587659913,0.9979723215103149,0.00043406809373977746,0.9955415725708008,0.0010190591230893101,0.992079222202301,0.0015910229917383582,0.9527687072753906,0.024199107247030834,0.9828308820724487,0.0027019396963059487,0.36890634298324587,0.07189471375062245,5.0,0.0,45.0,0.0,0.1,0.0,0.12379000931978226,0.0024134641932482895,1.7904357671737672,0.04956041721700765,8.694130516052246,0.1991624402431976,2.3890452861785887,0.14685130827173815,6.30508508682251,0.05894772471382182,81.4,19.882152800941856
